@relation Sax_prediction-2011-06-30T15:40:59-06:00-weka.filters.unsupervised.attribute.Remove-R1

@attribute n_term numeric
@attribute c_term numeric
@attribute y_num numeric
@attribute c_num numeric
@attribute k_num numeric
@attribute h_num numeric
@attribute r_num numeric
@attribute d_num numeric
@attribute e_num numeric
@attribute u_num numeric
@attribute polar_num numeric
@attribute hydrophobic_num numeric
@attribute pi numeric
@attribute charge_at_2.0 numeric
@attribute charge_at_2.5 numeric
@attribute charge_at_3.0 numeric
@attribute charge_at_3.5 numeric
@attribute charge_at_4.0 numeric
@attribute charge_at_4.5 numeric
@attribute charge_at_5.0 numeric
@attribute charge_at_5.5 numeric
@attribute charge_at_6.0 numeric
@attribute charge_at_6.5 numeric
@attribute charge_at_7.0 numeric
@attribute charge_at_7.5 numeric
@attribute charge_at_8.0 numeric
@attribute charge_at_8.5 numeric
@attribute charge_at_9.0 numeric
@attribute charge_at_9.5 numeric
@attribute charge_at_10.0 numeric
@attribute charge_at_10.5 numeric
@attribute charge_at_11.0 numeric
@attribute charge_at_11.5 numeric
@attribute charge_at_12.0 numeric
@attribute fraction numeric

@data
2.34,8.95,0,0,1,0,0,0,0,0,1,6,9.739502,1.6863,1.408924,1.179504,1.064703,1.021398,1.006834,1.002068,1.000327,0.999068,0.99644,0.988631,0.964809,0.896177,0.728863,0.442584,0.134511,-0.146039,-0.455326,-0.738079,-0.900408,-0.966336,5
2.17,9.04,0,0,0,0,2,0,0,0,2,5,12.480225,2.596629,2.318678,2.128851,2.044681,2.014566,2.004627,2.001386,2.000179,1.999236,1.997169,1.99097,1.971952,1.916357,1.775946,1.522348,1.255372,1.092212,1.012786,0.946742,0.813881,0.503577,5
2.11,9.04,1,0,0,0,1,0,0,0,1,5,9.553467,1.562985,1.28946,1.114122,1.03914,1.012709,1.004026,1.001187,1.000092,0.999132,0.996895,0.990121,0.969277,0.90795,0.74984,0.444241,0.044345,-0.364279,-0.705961,-0.916069,-1.055509,-1.236051,5
2.34,9.04,0,0,0,0,1,0,1,0,0,8,6.647461,1.680708,1.391452,1.126264,0.913724,0.661465,0.366777,0.153071,0.053643,0.016779,0.002784,-0.007244,-0.027473,-0.083432,-0.223893,-0.477303,-0.743576,-0.904485,-0.97685,-1.021206,-1.091332,-1.247664,5
2.34,8.95,0,0,2,1,0,0,1,0,1,4,9.565186,3.680608,3.391136,3.125264,2.910571,2.651561,2.336115,2.062135,1.813305,1.516511,1.242192,1.08102,0.995092,0.903313,0.722826,0.414934,0.049474,-0.373809,-0.938031,-1.484982,-1.803623,-1.933561,5
2.28,9.04,0,0,0,0,2,1,0,0,0,6,10.606689,2.633923,2.309884,1.977127,1.642327,1.327453,1.129731,1.044569,1.014242,1.003726,0.998593,0.991421,0.972094,0.916402,0.77596,0.522352,0.255374,0.092213,0.012786,-0.053258,-0.186119,-0.496423,5
1.88,8.95,0,0,1,0,0,1,0,0,2,5,6.297852,1.409461,1.127358,0.887587,0.608921,0.316281,0.126127,0.043401,0.013804,0.003373,-0.002194,-0.010937,-0.035054,-0.10378,-0.271123,-0.557412,-0.865487,-1.146039,-1.455326,-1.738079,-1.900408,-1.966336,5
2.36,9.04,0,0,0,0,1,1,2,0,1,3,3.750977,1.663048,1.319042,0.896985,0.351087,-0.38872,-1.149196,-1.653088,-1.879155,-1.961291,-1.99021,-2.005021,-2.02677,-2.083209,-2.223823,-2.477281,-2.743569,-2.904483,-2.97685,-3.021206,-3.091332,-3.247664,5
2.17,9.04,0,0,0,0,2,0,0,0,3,4,12.480225,2.596629,2.318678,2.128851,2.044681,2.014566,2.004627,2.001386,2.000179,1.999236,1.997169,1.99097,1.971952,1.916357,1.775946,1.522348,1.255372,1.092212,1.012786,0.946742,0.813881,0.503577,5
2.32,9.04,0,0,0,0,2,0,1,0,1,5,10.606689,2.67071,2.38037,2.119581,1.910992,1.660521,1.36647,1.152973,1.053612,1.016769,1.00278,0.992752,0.972516,0.916535,0.776002,0.522366,0.255378,0.092214,0.012787,-0.053258,-0.186119,-0.496423,5
2.18,8.95,0,0,3,0,0,0,0,0,0,5,10.8396,3.602158,3.323698,3.131458,3.045673,3.014898,3.004725,3.00139,3.000096,2.998942,2.996232,2.988034,2.962942,2.890291,2.710371,2.385251,1.963793,1.398218,0.579199,-0.231905,-0.706845,-0.900788,5
2.34,8.95,1,0,3,0,1,0,0,0,0,3,10.906982,4.6863,4.408924,4.179503,4.064702,4.021396,4.00683,4.002053,4.000282,3.998924,3.995984,3.987187,3.960249,3.881819,3.684056,3.306483,2.750673,1.935126,0.839726,-0.15882,-0.76581,-1.137935,5
2.17,8.95,0,0,3,0,0,0,1,0,2,3,10.259521,3.591037,3.301206,3.075611,2.8937,2.654628,2.364552,2.152335,2.053325,2.016411,2.001823,1.989809,1.963504,1.890469,1.710427,1.385269,0.963798,0.39822,-0.420801,-1.231905,-1.706845,-1.900788,5
2.34,9.04,0,0,2,0,1,0,0,0,1,5,11.676025,3.6863,3.408924,3.179504,3.064703,3.0214,3.00684,3.002086,3.000384,2.999248,2.997006,2.990391,2.9701,2.910505,2.757558,2.465347,2.0857,1.63977,1.057674,0.484968,0.102231,-0.182116,5
2.18,9.04,0,0,1,0,2,0,1,0,2,3,11.346436,3.596566,3.306226,3.078218,2.894694,2.654966,2.364669,2.152397,2.053421,2.016682,2.002669,1.992451,1.971582,1.913592,1.766756,1.493699,1.170019,0.864343,0.530049,0.19983,-0.089338,-0.463649,5
2.21,8.95,0,1,1,1,0,0,2,0,1,3,5.295898,2.607299,2.303738,2.032062,1.743648,1.286111,0.694074,0.211894,-0.135709,-0.472608,-0.772606,-0.97889,-1.176237,-1.491409,-1.944174,-2.424923,-2.819485,-3.131026,-3.45053,-3.736558,-3.899926,-3.966183,5
2.21,8.95,0,0,1,0,1,0,0,0,2,5,11.511963,2.618584,2.339001,2.139548,2.048781,2.015948,2.005066,2.001504,2.000148,1.999012,1.996421,1.988622,1.964797,1.896143,1.728759,1.442252,1.133465,0.85066,0.534311,0.229869,0.004805,-0.215095,5
